测试时间/Sec,电流/A,容量/Ah,SOC|DOD/%,电压/V,Unnamed: 5,测试时间/Sec.1,电流/A.1,容量/Ah.1,SOC|DOD/%.1,电压/V.1
0,2.318638,0.0,0.0,3.324343,,4952.0,-2.898685,0.0,0.0,4.088723674909931
4,2.318638,0.002576,0.0932,3.324343,,4961.0,-2.898685,0.007247,0.2782,4.1820575873209735
5,2.319258,0.003221,0.1165,3.324343,,4962.0,-2.898685,0.008052,0.3091,4.126322289272405
6,2.318638,0.003865,0.1398,3.324343,,4963.0,-2.898996,0.008857,0.34,4.033531650121121
7,2.318638,0.004509,0.1631,3.330543,,4964.0,-2.898996,0.009662,0.3709,4.047293279127692
8,2.318638,0.005153,0.1865,3.335193,,4965.0,-2.898996,0.010468,0.4018,4.13476983472232
9,2.318638,0.005797,0.2098,3.340154,,4966.0,-2.898996,0.011273,0.4328,4.016365197031935
10,2.318638,0.006441,0.2331,3.340154,,4967.0,-2.898996,0.012078,0.4637,4.0098382182436545
11,2.318638,0.007085,0.2564,3.344494,,4968.0,-2.898996,0.012884,0.4946,3.926266131385508
12,2.318638,0.007729,0.2797,3.348524,,4969.0,-2.898996,0.013689,0.5255,4.067463909782877
13,2.318638,0.008373,0.303,3.348524,,4970.0,-2.898996,0.014494,0.5564,4.058702100322228
14,2.318638,0.009017,0.3263,3.353795,,4971.0,-2.898996,0.015299,0.5873,4.038432559913221
15,2.318949,0.009661,0.3496,3.359065,,4972.0,-2.898996,0.016105,0.6182,4.002437001545803
16,2.318949,0.010305,0.3729,3.363095,,4973.0,-2.898996,0.01691,0.6492,3.9487536595815786
17,2.318949,0.01095,0.3962,3.363095,,4974.0,-2.898996,0.017715,0.6801,4.080457758144694
18,2.318949,0.011594,0.4195,3.365265,,4975.0,-2.898996,0.01852,0.711,3.985902224769986
19,2.318949,0.012238,0.4428,3.370226,,4976.0,-2.898996,0.019326,0.7419,4.076425945869242
20,2.318949,0.012882,0.4661,3.375496,,4977.0,-2.898996,0.020131,0.7728,4.066993845378064
21,2.318949,0.013526,0.4895,3.375496,,4978.0,-2.898996,0.020936,0.8037,4.011294286748285
22,2.318949,0.01417,0.5128,3.377356,,4979.0,-2.898996,0.021742,0.8346,4.0265425221426066
23,2.318638,0.014814,0.5361,3.380456,,4980.0,-2.898996,0.022547,0.8656,3.950925080184021
24,2.318638,0.015458,0.5594,3.380456,,4981.0,-2.898996,0.023352,0.8965,4.060370578268981
25,2.318638,0.016103,0.5827,3.383557,,4982.0,-2.898996,0.024157,0.9274,4.034963395967856
26,2.319258,0.016747,0.606,3.386967,,4983.0,-2.898996,0.024963,0.9583,4.0079500742807115
27,2.319258,0.017391,0.6293,3.391927,,4984.0,-2.898996,0.025768,0.9892,3.9826489747455107
28,2.319258,0.018035,0.6526,3.392857,,4985.0,-2.898996,0.026573,1.0201,4.039624680105886
