case,cutoff_hz,band,energy
raw,none,low_0.00_0.05Hz,0.00032552096624376825
filtered,0.05,low_0.00_0.05Hz,0.00028141536608418535
filtered,0.1,low_0.00_0.05Hz,0.0003102732311183835
filtered,0.2,low_0.00_0.05Hz,0.00031042179407499295
filtered,0.3,low_0.00_0.05Hz,0.0003104220318500122
raw,none,isc_candidate_0.10_0.20Hz,2.4074720879097694e-05
filtered,0.05,isc_candidate_0.10_0.20Hz,9.121232797447992e-12
filtered,0.1,isc_candidate_0.10_0.20Hz,3.146557611850295e-07
filtered,0.2,isc_candidate_0.10_0.20Hz,1.602771971686778e-05
filtered,0.3,isc_candidate_0.10_0.20Hz,1.9661900524699786e-05
raw,none,high_0.20_0.30Hz,8.461206242995276e-06
filtered,0.05,high_0.20_0.30Hz,1.269648901363447e-14
filtered,0.1,high_0.20_0.30Hz,6.135333304683604e-13
filtered,0.2,high_0.20_0.30Hz,1.0009317785615981e-07
filtered,0.3,high_0.20_0.30Hz,5.054758393510786e-06
