noise_std_V,noise_std_mV,noise_level,case,mse,threshold,mse_vs_thr,detected
0.0,0.0,No Noise,Normal (1000ohm BD),0.0039576,0.0041143,0.9619,False
0.0,0.0,No Noise,ISC 10ohm,0.0063094,0.0041143,1.5335,True
0.0,0.0,No Noise,ISC 100ohm,0.0147484,0.0041143,3.5847,True
0.0,0.0,No Noise,ISC 1000ohm,0.0173702,0.0041143,4.2219,True
0.01,10.0,"std=0.01V (10mV, BMS)",Normal (1000ohm BD),0.007297,0.0092246,0.791,False
0.01,10.0,"std=0.01V (10mV, BMS)",ISC 10ohm,0.0127119,0.0092246,1.378,True
0.01,10.0,"std=0.01V (10mV, BMS)",ISC 100ohm,0.0153868,0.0092246,1.668,True
0.01,10.0,"std=0.01V (10mV, BMS)",ISC 1000ohm,0.0180514,0.0092246,1.9569,True
0.05,50.0,std=0.05V (50mV),Normal (1000ohm BD),0.0283101,0.0204717,1.3829,True
0.05,50.0,std=0.05V (50mV),ISC 10ohm,0.0569852,0.0204717,2.7836,True
0.05,50.0,std=0.05V (50mV),ISC 100ohm,0.0300728,0.0204717,1.469,True
0.05,50.0,std=0.05V (50mV),ISC 1000ohm,0.0328273,0.0204717,1.6035,True
0.1,100.0,std=0.10V (100mV),Normal (1000ohm BD),0.0404581,0.0469589,0.8616,False
0.1,100.0,std=0.10V (100mV),ISC 10ohm,0.0686117,0.0469589,1.4611,True
0.1,100.0,std=0.10V (100mV),ISC 100ohm,0.0330657,0.0469589,0.7041,False
0.1,100.0,std=0.10V (100mV),ISC 1000ohm,0.0253415,0.0469589,0.5397,False
